tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
WaterQualitypH	DataQualityFlag	"Data Quality Flag: No Flag, Information, Warning, Critical"	character				
WaterQualitypH	DataQualityFlagNote	Notes aboutdata quality flag	character				
WaterQualitypH	pHInstrument	Water quality instrument used for measurement	character				
WaterQualitypH	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
WaterQualitypH	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
WaterQualitypH	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character				
WaterQualitySpCond	Park	Four letter park code	character				
WaterQualitySpCond	SiteCode	Four letter park code	character				
WaterQualitySpCond	SiteName	Unique alphanumeric site code	character				
WaterQualitySpCond	VisitDate	Descriptive name of the site	Date		YYYY-MM-DD		
WaterQualitySpCond	FieldSeason	Date that the monitoring occured	character				
WaterQualitySpCond	WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character				
WaterQualitySpCond	SpecificConductance_microS_per_cm	Specific conductance measurement in microsiemens per centimeter	numeric	microsiemensPerCentimeter			
WaterQualitySpCond	DataQualityFlag	"Data Quality Flag: No Flag, Information, Warning, Critical"	character				
WaterQualitySpCond	DataQualityFlagNote	Notes aboutdata quality flag	character				
WaterQualitySpCond	SpCondInstrument	Water quality instrument used for measurement	character				
WaterQualitySpCond	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
WaterQualitySpCond	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
WaterQualitySpCond	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character				
WaterQualityTemperature	Park	Four letter park code	character				
WaterQualityTemperature	SiteCode	Four letter park code	character				
WaterQualityTemperature	SiteName	Unique alphanumeric site code	character				
WaterQualityTemperature	VisitDate	Descriptive name of the site	Date		YYYY-MM-DD		
WaterQualityTemperature	FieldSeason	Date that the monitoring occured	character				
WaterQualityTemperature	WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character				
WaterQualityTemperature	WaterTemperature_C	Temperature measurement in degrees C	numeric	celsius			
WaterQualityTemperature	DataQualityFlag	"Data Quality Flag: No Flag, Information, Warning, Critical"	character				
WaterQualityTemperature	DataQualityFlagNote	Notes aboutdata quality flag	character				
WaterQualityTemperature	TempInstrument	Water quality instrument used for measurement	character				
WaterQualityTemperature	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
WaterQualityTemperature	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
WaterQualityTemperature	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character				
Wildlife	Park	Four letter park code	character				
Wildlife	SiteCode	Four letter park code	character				
Wildlife	SiteName	Unique alphanumeric site code	character				
Wildlife	VisitDate	Descriptive name of the site	Date		YYYY-MM-DD		
Wildlife	FieldSeason	Date that the monitoring occured	character				
Wildlife	IsWildlifeObserved	Indicates whether evidence of wildlife was observed at the spring	character				
Wildlife	WildlifeType	Indicates wildlife category of interest	character				
Wildlife	DirectObservation	Indicates whether a direct observation was made of the specified wildilfe type	character				
Wildlife	Scat	Indicates whether scat from the specified wildilfe type was found	character				
Wildlife	Tracks	Indicates whether tracks from the specified wildilfe type were found	character				
Wildlife	Shelter	Indicates whether shelter/burrows from the specified wildilfe type were found	character				
Wildlife	Foraging	Indicates whether foraging from the specified wildlife type was found	character				
Wildlife	Vocalization	Indicates whether vocalization from the specified wildilfe type was heard	character				
Wildlife	OtherEvidence	Indicates whether other evidence from the specified wildilfe type was found	character				
Wildlife	Notes	Notes pertaining to wildlife evidence	character				
Wildlife	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
Wildlife	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
